country,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_29,pct20_29_male,pct20_29_female,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5,pct30_39,pct30_39_male,pct30_39_female,pct30_39_q1,pct30_39_q2,pct30_39_q3,pct30_39_q4,pct30_39_q5,pct40_49,pct40_49_male,pct40_49_female,pct40_49_q1,pct40_49_q2,pct40_49_q3,pct40_49_q4,pct40_49_q5
United States,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,1,.9975152,.99713606,.99791306,.99625462,.99675572,.99739856,.99786162,.99866384,.99341297,.99259502,.99426389,.99001598,.99117082,.99349821,.99519461,.99560249,.99015576,.98871022,.99160552,.97974968,.98285592,.98930967,.99345243,.99588239,.98650402,.98560905,.98738205,.97283447,.97608167,.98241156,.98955077,.99472159
United States,2,.9972806,.9969514,.99762613,.99602973,.99655694,.99717808,.99767703,.99834818,.99276137,.99189955,.99365801,.98913246,.99032527,.99287361,.9947381,.99503446,.98924792,.98780775,.99069238,.97810209,.98098946,.98821759,.99306977,.99545658,.98545325,.98458314,.98630691,.9703331,.9744153,.98084885,.98878127,.99441415
United States,3,.99721348,.99688184,.99756157,.99589401,.99644178,.99707937,.99766153,.99833798,.99242264,.99148357,.99339968,.98880666,.98977041,.99252778,.99433893,.99493855,.98835939,.98685288,.98987037,.97631687,.9789508,.98715782,.99273491,.99518657,.98424923,.98317897,.98529917,.96769679,.97215062,.97916514,.98791838,.99407065
United States,4,.99713778,.99676758,.99752629,.9958505,.99641627,.99689609,.99754947,.99831623,.99182874,.990798,.99290115,.98814321,.98886359,.99175006,.99385089,.99472624,.9865151,.98463786,.98839813,.97276717,.97483009,.98563069,.9916836,.99431771,.98165667,.98036313,.98292553,.96282107,.96653265,.97523129,.98637193,.99336058
United States,5,.99699414,.9965958,.9974122,.99563026,.99623978,.99666339,.99748105,.99824685,.99131268,.99024791,.99242049,.9874959,.98811191,.99110216,.99356419,.99438429,.9849208,.98275393,.9870941,.97022784,.97157454,.98372895,.99061251,.99381101,.97994083,.97844636,.98140687,.95981932,.96308142,.9728114,.98497611,.99290073
United States,6,.99640954,.99603164,.99680597,.99494928,.99553484,.99573815,.9968701,.99806911,.99036574,.98918509,.99159408,.98634356,.9868781,.99014103,.99262667,.99382043,.98256147,.98036098,.98476845,.96578211,.96584791,.9812814,.98926216,.9933427,.97709334,.97554827,.97860909,.95503122,.95781541,.96779287,.9831214,.99211764
United States,7,.99473554,.99414617,.995354,.99249738,.99312812,.99376565,.99523163,.99757785,.98683822,.98490119,.98885351,.98194355,.9816978,.98560792,.9899177,.99240923,.97041905,.96685088,.97399747,.94518638,.93804204,.96732593,.98241997,.99004281,.96209735,.95942938,.96471471,.9301827,.92610437,.94512999,.97186613,.98852241
United States,8,.98736048,.98535508,.9894647,.98398352,.98017734,.98418993,.98936278,.99471748,.98524904,.98295951,.98763114,.97994775,.97965658,.98378479,.9884966,.99153119,.9674691,.96351153,.97143805,.93800926,.93230665,.96387279,.98089445,.98935211,.95805913,.95502657,.96103418,.92054588,.91777444,.93993473,.96907622,.98755151
United States,9,.92063564,.91267526,.92898828,.93027097,.90071428,.91242564,.91999358,.93239349,.97924119,.97595346,.98266166,.96989995,.97129983,.97758228,.9844594,.98832172,.95781076,.95297676,.96265858,.91613001,.91345602,.95272565,.9758395,.98645806,.94769669,.94360149,.95171422,.89634204,.89728987,.92677331,.96187943,.98446631
United States,10,.74751824,.7383846,.75710183,.82227099,.71309805,.72359681,.73656833,.74191016,.96884447,.96358442,.97431695,.9489882,.95589542,.96755189,.97835732,.98429418,.94036776,.93377721,.94697714,.87516713,.87759972,.93280733,.96668476,.98273379,.93021131,.92438227,.93592978,.85615867,.86083454,.902439,.95047998,.98055166
United States,11,.55449605,.54227,.56732446,.7083959,.51084471,.51816529,.52566963,.52239978,.95355463,.945921,.96149635,.91810971,.93459356,.95279652,.96825337,.97854263,.92430067,.91499162,.93363643,.82798934,.85053658,.91616821,.9575541,.97856069,.91466898,.90720499,.92199159,.81552178,.83119977,.88338417,.93979603,.97616732
United States,12,.32164034,.30748144,.3364968,.58326405,.27294481,.26868027,.26616958,.25066113,.91277224,.89843315,.92768991,.85210168,.88022935,.91117358,.93740141,.95648897,.88698274,.87241322,.90159398,.73952109,.78865463,.87528414,.93315566,.96533126,.87941676,.86680913,.89178544,.73160839,.77294195,.83947653,.91141641,.96382487
United States,13,.09019497,.077848375,.1031498,.18620683,.070540436,.067428112,.06664414,.070315316,.57769692,.52569681,.63179475,.51750726,.48689175,.54550713,.61203974,.69025874,.60056216,.55098718,.65027863,.32957092,.41029719,.53202111,.66499913,.80871135,.57578427,.53803432,.6128189,.32475337,.37264743,.46277934,.58856785,.78821111
United States,14,.0038262303,.0035875256,.0040766005,.0058074873,.00357243,.0034241476,.003609638,.0030468162,.32278833,.27909106,.36824849,.17565253,.22917055,.294911,.37803161,.47020486,.45087209,.40396872,.49790937,.17285419,.23796217,.35807487,.50815398,.7021414,.43211573,.39532858,.46820575,.17253038,.22051197,.30149856,.42988175,.67280251
United States,15,,,,,,,,,.24463445,.21036899,.28028238,.12663418,.15510851,.20886113,.28821364,.38928148,.35840032,.32156384,.39534199,.10798531,.15357035,.25231466,.39652726,.62430024,.34013805,.31654069,.36328813,.10872969,.13465741,.20514731,.32058206,.58671701
United States,16,.00056492694,.00059319922,.00053516589,.0015204415,.00041121067,.00061141857,.00024191615,.00022148101,.23758395,.20436172,.27214652,.12234212,.15120792,.20336993,.28107724,.3762382,.33645624,.30103248,.37198117,.10342534,.14809206,.24205735,.38031247,.57063311,.3183305,.29402763,.34217271,.10360614,.12929487,.19808093,.30820397,.53713495
United States,18,,,,,,,,,.03995245,.030893167,.049377464,.018625896,.022779867,.031755541,.048390575,.068078406,.11257672,.093042873,.13216645,.027609643,.038066294,.068300411,.11884746,.2192072,.11127579,.10038818,.12195692,.027800063,.031046057,.057063222,.097860843,.21110983
United States,21,,,,,,,,,.0033459046,.0030326815,.0036720799,.0013070119,.0019953283,.0024561987,.0032969429,.006815338,.013896413,.01371505,.014078528,.0036724389,.0048370506,.0076093515,.011678242,.030545203,.014371988,.01583167,.012939719,.003878996,.0027117527,.0059815622,.010944052,.029899335
